/* This file requires rewriting of ß to ss in prepro.csv, but no rewriting of ä, ö and ü.
/* It recognizes input with ä, ö, ü as well as with ae, oe, ue.

;;-;KB17, added Hyphen #19-sde;DEKomma;DEHyphen
;;anheben;;DEInf;
;;anhebst;KB11,anheben;DERel;
;;anhebt;deel5;DERel;
;;anheimgab;KB11,anheimgeben;DERel;
;;anheimgaben;KB11,anheimgeben;DERel;
;;anheimgebe;KB11,anheimgeben;DERel;
;;anheimgeben;KB11,anheimgeben;DEInf;
;;anheimgebt;KB11,anheimgeben;DERel;
;;anheimgegeben;KB11,anheimgeben;DEPart;
;;anheimgibst;KB11,anheimgeben;DERel;
;;anheimgibt;KB11,anheimgeben;DERel;
;;anheimzugeben;KB11,anheimgeben;DEZuInf;
;;anheize;KB11,anheizen;DERel;
;;anheizen;KB11,anheizen;DEInf;
;;anheizt;KB11,anheizen;DERel;
;;anheizte;KB11,anheizen;DERel;
;;anheizten;KB11,anheizen;DERel;
;;anheuere;KB11,anheuern;DERel;
;;anheuern;KB11,anheuern;DEInf;
;;anheuerst;KB11,anheuern;DERel;
;;anheuert;KB11,anheuern;DERel;
;;anheuerte;KB11,anheuern;DERel;
;;anheuerten;KB11,anheuern;DERel;
;;anhieb;;DERel;
;;anhielt;KB11,anhalten;DERel;
;;anhielten;KB11,anhalten;DERel;
;;anhing;KB11,anhängen;DERel;
;;anhingen;KB11,anhängen;DERel;
;;anhob;KB11,anheben;DERel;
;;anhoben;KB11,anheben;DERel;
;;anhöre;KB11,anhören;DERel;
;;anhören;deel3;DEInf;
;;anhörst;KB11,anhören;DERel;
;;anhört;KB11,anhören;DERel;
;;anhörte;KB11,anhören;DERel;
;;anhörten;KB11,anhören;DERel;
;;animiere;KB11,animieren;DERel;
;;animieren;;DEInf;
;;animierst;KB11,animieren;DERel;
;;animiert;KB11,animieren;DERel;
;;animierte;KB11;DEVerbAdj;
;;animierten;KB11;DEVerbAdj;
;;ankämpfe;KB16,ankämpfen;DERel;
;;ankämpfen;KB16,ankämpfen;DEInf;
;;ankämpft;KB16,ankämpfen;DERel;
;;ankämpfte;KB16,ankämpfen;DERel;
;;ankämpften;KB16,ankämpfen;DERel;
;;ankäufe;KB11;DERelCon;
;;ankam;KB11,ankommen;DERel;
;;ankamen;KB11,ankommen;DERel;
;;ankaufe;KB11,ankaufen;DERelCon;
;;ankaufen;KB11,ankaufen;DEInf;
;;ankaufst;KB11,ankaufen;DERel;
;;ankauft;KB11,ankaufen;DERel;
;;ankaufte;KB11,ankaufen;DERel;
;;ankauften;KB11,ankaufen;DERel;
;;ankette;KB11,anketten;DERel;
;;anketten;KB11,anketten;DEInf;
;;ankettest;KB11,anketten;DERel;
;;ankettet;KB11,anketten;DERel;
;;ankettete;KB11,anketten;DERel;
;;anketteten;KB11,anketten;DERel;
;;anklage;;DERelCon;
;;anklagen;deel3;DERelCon;
;;anklagst;KB11,anklagen;DERel;
;;anklagt;KB11,anklagen;DERel;
;;anklagte;KB11,anklagen;DERel;
;;anklagten;KB11,anklagen;DERel;
;;anklang;KB11,anklingen;DERelCon;
;;anklangen;KB11,anklingen;DERel;
;;anklicke;KB11,anklicken;DERel;
;;anklicken;KB11;DEInf;
;;anklickst;KB11,anklicken;DERel;
;;anklickt;KB11,anklicken;DERel;
;;anklickte;KB11,anklicken;DERel;
;;anklickten;KB11,anklicken;DERel;
;;anklinge;KB11,anklingen;DERel;
;;anklingen;KB11,anklingen;DEInf;
;;anklingst;KB11,anklingen;DERel;
;;anklingt;KB11,anklingen;DERel;
;;anknüpfe;KB11,anknüpfen;DERel;
;;anknüpfen;deel3;DEInf;
;;anknüpfst;KB11,anknüpfen;DERel;
;;anknüpft;KB11;DERel;
;;anknüpfte;KB11,anknüpfen;DERel;
;;anknüpften;KB11,anknüpfen;DERel;
;;ankomme;deel4;DERel;
;;ankommen;deel2;DEInf;
;;ankommst;KB11,ankommen;DERel;
;;ankommt;deel4;DERel;
;;ankoppele;KB11,ankoppeln;DERel;
;;ankoppeln;KB11,ankoppeln;DEInf;
;;ankoppelst;KB11,ankoppeln;DERel;
;;ankoppelt;KB11,ankoppeln;DERel;
;;ankoppelte;KB11,ankoppeln;DERel;
;;ankoppelten;KB11,ankoppeln;DERel;
;;ankreide;KB11,ankreiden;DERel;
;;ankreiden;KB11,ankreiden;DEInf;
;;ankreidest;KB11,ankreiden;DERel;
;;ankreidet;KB11,ankreiden;DERel;
;;ankreidete;KB11,ankreiden;DERel;
;;ankreideten;KB11,ankreiden;DERel;
;;ankreuze;KB11,ankreuzen;DERel;
;;ankreuzen;KB11;DEInf;
;;ankreuzt;KB11,ankreuzen;DERel;
;;ankreuzte;KB11;DERel;
;;ankreuzten;KB11;DERel;
;;ankündige;KB11,ankündigen;DERel;
;;ankündigen;deel3;DEInf;
;;ankündigst;KB11,ankündigen;DERel;
;;ankündigt;deel5;DERel;
;;ankündigte;deel2;DERel;
;;ankündigten;KB11,ankündigen;DERel;
;;ankurbele;KB11,ankurbeln;DERel;
;;ankurbeln;deel2;DEInf;
;;ankurbelst;KB11,ankurbeln;DERel;
;;ankurbelt;KB11,ankurbeln;DERel;
;;ankurbelte;KB11,ankurbeln;DERel;
;;ankurbelten;KB11,ankurbeln;DERel;
;;anlässlich;;DEPrep;
;;anläufst;KB11,anlaufen;DERel;
;;anläuft;KB11,anlaufen;DERel;
;;anlag;KB11,anliegen;DERel;
;;anlagen;KB11,anliegen;DERelCon;
;;anlagere;KB11,anlagern;DERel;
;;anlagern;KB11,anlagern;DEInf;
;;anlagerst;KB11,anlagern;DERel;
;;anlagert;KB11,anlagern;DERel;
;;anlagerte;KB11,anlagern;DERel;
;;anlagerten;KB11,anlagern;DERel;
;;anlange;KB11,anlangen;DERel;
;;anlangen;KB11,anlangen;DEInf;
;;anlangst;KB11,anlangen;DERel;
;;anlangt;KB11,anlangen;DERel;
;;anlangte;KB11,anlangen;DERel;
;;anlangten;KB11,anlangen;DERel;
;;anlaste;KB11,anlasten;DERel;
;;anlasten;KB11,anlasten;DEInf;
;;anlastest;KB11,anlasten;DERel;
;;anlastet;KB11,anlasten;DERel;
;;anlastete;KB11,anlasten;DERel;
;;anlasteten;KB11,anlasten;DERel;
;;anlaufe;KB11,anlaufen;DERel;
;;anlaufen;deel2;DEInf;
;;anlauft;KB11,anlaufen;DERel;
;;anlege;KB11,anlegen;DERel;
;;anlegen;deel3;DEInf;
;;anlegere;KB11,anlegern;DERel;
;;anlegern;deel3;DEInf;
;;anlegerst;KB11,anlegern;DERel;
;;anlegert;KB11,anlegern;DERel;
;;anlegerte;KB11,anlegern;DERel;
;;anlegerten;KB11,anlegern;DERel;
;;anlegst;KB11,anlegen;DERel;
;;anlegt;KB11,anlegen;DERel;
;;anlegte;KB11,anlegen;DERel;
;;anlegten;KB11,anlegen;DERel;
;;anlehne;KB11,anlehnen;DERel;
;;anlehnen;KB11,anlehnen;DEInf;
;;anlehnst;KB11,anlehnen;DERel;
;;anlehnt;KB11,anlehnen;DERel;
;;anlehnte;KB11,anlehnen;DERel;
;;anlehnten;KB11,anlehnen;DERel;
;;anleite;KB11,anleiten;DERel;
;;anleiten;KB11,anleiten;DEInf;
;;anleitest;KB11,anleiten;DERel;
;;anleitet;KB11,anleiten;DERel;
;;anleitete;KB11,anleiten;DERel;
;;anleiteten;KB11,anleiten;DERel;
;;anlerne;KB11,anlernen;DERel;
;;anlernen;KB11,anlernen;DEInf;
;;anlernst;KB11,anlernen;DERel;
;;anlernt;KB11,anlernen;DERel;
;;anlernte;KB11,anlernen;DERel;
;;anlernten;KB11,anlernen;DERel;
;;anlief;KB11;DERel;
;;anliefen;KB11,anlaufen;DERel;
;;anliefere;KB11,anliefern;DERel;
;;anliefern;KB11,anliefern;DEInf;
;;anlieferst;KB11,anliefern;DERel;
;;anliefert;KB11;DERel;
;;anlieferte;KB11,anliefern;DERel;
;;anlieferten;KB11,anliefern;DERel;
;;anliege;KB11,anliegen;DERel;
;;anliegen;;DERelCon;
;;anliegst;KB11,anliegen;DERel;
;;anliegt;KB11,anliegen;DERel;
;;anlocke;KB11,anlocken;DERel;
;;anlocken;deel5;DEInf;
;;anlockst;KB11,anlocken;DERel;
;;anlockt;KB11,anlocken;DERel;
;;anlockte;KB11,anlocken;DERel;
;;anlockten;KB11,anlocken;DERel;
;;anmache;KB11,anmachen;DERel;
;;anmachen;KB11,anmachen;DEInf;
;;anmachst;KB11,anmachen;DERel;
;;anmacht;KB11,anmachen;DERel;
;;anmachte;KB11,anmachen;DERel;
;;anmachten;KB11,anmachen;DERel;
;;anmahne;KB11,anmahnen;DERel;
;;anmahnen;deel5;DEInf;
;;anmahnst;KB11,anmahnen;DERel;
;;anmahnt;KB11,anmahnen;DERel;
;;anmahnte;KB11,anmahnen;DERel;
;;anmahnten;KB11,anmahnen;DERel;
;;anmass;KB11,anmessen;DERel;
;;anmassen;KB11,anmessen;DERel;
;;anmelde;KB11,anmelden;DERel;
;;anmelden;deel2;DEInf;
;;anmeldest;KB11,anmelden;DERel;
;;anmeldet;KB11,anmelden;DERel;
;;anmeldete;KB11,anmelden;DERel;
;;anmeldeten;KB11,anmelden;DERel;
;;anmerke;KB11,anmerken;DERel;
;;anmerken;KB11,anmerken;DEInf;
;;anmerkst;KB11,anmerken;DERel;
;;anmerkt;KB11,anmerken;DERel;
;;anmerkte;KB11;DERel;
;;anmerkten;KB11,anmerken;DERel;
;;anmesse;KB11,anmessen;DERel;
;;anmessen;KB11,anmessen;DEInf;
;;anmesst;KB11,anmessen;DERel;
;;anmiete;KB11,anmieten;DERel;
;;anmieten;KB11,anmieten;DEInf;
;;anmietest;KB11,anmieten;DERel;
;;anmietet;KB11,anmieten;DERel;
;;anmietete;KB11,anmieten;DERel;
;;anmieteten;KB11,anmieten;DERel;
;;annähere;KB11,annähern;DERel;
;;annähern;deel3;DEInf;
;;annäherst;KB11,annähern;DERel;
;;annähert;KB11,annähern;DERel;
;;annäherte;KB11,annähern;DERel;
;;annäherten;KB11,annähern;DERel;
;;annahm;deel4;DERel;
;;annahmen;KB11,annehmen;DERelCon;
;;annehmbar;KB08;DEPredadj;
;;annehmbarer;KB14;DEPredadj;
;;annehmbares;KB08;DEAttradj;
;;annehme;deel3;DERel;
;;annehmen;;DEInf;
;;annehmt;KB11,annehmen;DERel;
;;annektiere;KB11,annektieren;DERel;
;;annektieren;KB11,annektieren;DEInf;
;;annektierst;KB11,annektieren;DERel;
;;annektiert;KB07;DERel;
;;annektierte;KB07;DEVerbAdj;
;;annektierten;KB11,annektieren;DEVerbAdj;
;;annimmst;KB11,annehmen;DERel;
;;annimmt;deel4;DERel;
;;annonciere;KB11,annoncieren;DERel;
;;annoncieren;KB11,annoncieren;DEInf;
;;annoncierst;KB11,annoncieren;DERel;
;;annonciert;KB11;DERel;
;;annoncierte;KB11;DEVerbAdj;
;;annoncierten;KB11,annoncieren;DEVerbAdj;
;;annulieren;;DEInf;
;;annulliere;KB11,annullieren;DERel;
;;annullieren;KB11,annullieren;DEInf;
;;annullierst;KB11,annullieren;DERel;
;;annulliert;deel4;DERel;
;;annullierte;KB11,annullieren;DEVerbAdj;
;;annullierten;KB11,annullieren;DEVerbAdj;
;;annweiler am trifels;DEGeo,KB17;DECon;
;;anogenitalen;KB14;DEAttradj;
;;anonym;KB08;DEPredadj;
;;anonyme;KB08;DEAttradj;
;;anonymen;KB08;DEAttradj;
;;anonymer;KB08;DEAttradj;
;;anonymisiere;KB11,anonymisieren;DERel;
;;anonymisieren;KB11,anonymisieren;DEInf;
;;anonymisierst;KB11,anonymisieren;DERel;
;;anonymisiert;KB11;DERel;
;;anonymisierte;KB11;DEVerbAdj;
;;anonymisierten;KB11,anonymisieren;DEVerbAdj;
;;anordne;KB11,anordnen;DERel;
;;anordnen;deel3;DEInf;
;;anordnest;KB11,anordnen;DERel;
;;anordnet;KB11,anordnen;DERel;
;;anordnete;deel5;DERel;
;;anordneten;KB11,anordnen;DERel;
;;anpacke;KB11,anpacken;DERel;
;;anpacken;deel3;DEInf;
;;anpackst;KB11,anpacken;DERel;
;;anpackt;KB11,anpacken;DERel;
;;anpackte;KB11,anpacken;DERel;
;;anpackten;KB11,anpacken;DERel;
;;anpasse;KB11,anpassen;DERel;
;;anpassen;deel2;DEInf;
;;anpasst;deel5;DERel;
;;anpasste;KB11,anpassen;DERel;
;;anpassten;KB11,anpassen;DERel;
;;anpeile;KB11,anpeilen;DERel;
;;anpeilen;KB11,anpeilen;DEInf;
;;anpeilst;KB11,anpeilen;DERel;
;;anpeilt;KB11,anpeilen;DERel;
;;anpeilte;KB11,anpeilen;DERel;
;;anpeilten;KB11,anpeilen;DERel;
;;anpfeife;KB11,anpfeifen;DERel;
;;anpfeifen;KB11,anpfeifen;DEInf;
;;anpfeifst;KB11,anpfeifen;DERel;
;;anpfeift;KB11,anpfeifen;DERel;
;;anpfiff;KB11,anpfeifen;DERel;
;;anpfiffen;KB11,anpfeifen;DERel;
;;anpöbele;KB11,anpöbeln;DERel;
;;anpöbeln;KB11,anpöbeln;DEInf;
;;anpöbelst;KB11,anpöbeln;DERel;
;;anpöbelt;KB11,anpöbeln;DERel;
;;anpöbelte;KB11,anpöbeln;DERel;
;;anpöbelten;KB11,anpöbeln;DERel;
;;anprangere;KB11,anprangern;DERel;
;;anprangern;deel4;DEInf;
;;anprangerst;KB11,anprangern;DERel;
;;anprangert;KB11;DERel;
;;anprangerte;KB11,anprangern;DERel;
;;anprangerten;KB11,anprangern;DERel;
;;anpreise;KB11,anpreisen;DERel;
;;anpreisen;KB11,anpreisen;DEInf;
;;anpreist;KB11,anpreisen;DERel;
;;anpreiste;KB11,anpreisen;DERel;
;;anpreisten;KB11,anpreisen;DERel;
;;anprobiere;KB11,anprobieren;DERel;
;;anprobieren;;DEInf;
;;anprobierst;KB11,anprobieren;DERel;
;;anprobiert;KB11,anprobieren;DERel;
;;anprobierte;KB11,anprobieren;DEVerbAdj;
;;anprobierten;KB11,anprobieren;DEVerbAdj;
;;anrät;KB11,anraten;DERel;
;;anrätst;KB11,anraten;DERel;
;;anrate;KB11,anraten;DERel;
;;anraten;KB11,anraten;DEInf;
;;anratet;KB11,anraten;DERel;
;;anrechne;KB11,anrechnen;DERel;
;;anrechnen;deel3;DEInf;
;;anrechnest;KB11,anrechnen;DERel;
;;anrechnet;KB11,anrechnen;DERel;
;;anrechnete;KB11,anrechnen;DERel;
;;anrechneten;KB11,anrechnen;DERel;
;;anrede;KB11;DERelCon;
;;anreden;KB11,anreden;DERelCon;
;;anredest;KB11,anreden;DERel;
;;anredet;KB11,anreden;DERel;
;;anredete;KB11,anreden;DERel;
;;anredeten;KB11,anreden;DERel;
;;anrege;KB11,anregen;DERel;
;;anregen;deel3;DEInf;
;;anregst;KB11,anregen;DERel;
;;anregt;KB11;DERel;
;;anregte;KB11,anregen;DERel;
;;anregten;KB11,anregen;DERel;
;;anreichere;KB11,anreichern;DERel;
;;anreichern;KB11,anreichern;DEInf;
;;anreicherst;KB11,anreichern;DERel;
;;anreichert;KB11,anreichern;DERel;
;;anreicherte;KB11,anreichern;DERel;
;;anreicherten;KB11,anreichern;DERel;
;;anreise;KB11,anreisen;DERelCon;
;;anreisen;KB11,anreisen;DERelCon;
;;anreisse;KB11,anreissen;DERel;
;;anreissen;KB11,anreissen;DEInf;
;;anreisst;KB11,anreissen;DERel;
;;anreist;KB07;DERel;
;;anreiste;KB11,anreisen;DERel;
;;anreisten;KB11,anreisen;DERel;
;;anreize;;DERelCon;
;;anreizen;deel4;DEInf;
;;anreizt;KB11,anreizen;DERel;
;;anreizte;KB11,anreizen;DERel;
;;anreizten;KB11,anreizen;DERel;
;;anrichte;KB11,anrichten;DERel;
;;anrichten;deel3;DEInf;
;;anrichtest;KB11,anrichten;DERel;
;;anrichtet;KB11,anrichten;DERel;
;;anrichtete;deel5;DERel;
;;anrichteten;KB11,anrichten;DERel;
;;anrief;KB11;DERel;
;;anriefen;KB11,anrufen;DERel;
;;anriet;KB11,anraten;DERel;
;;anrieten;KB11,anraten;DERel;
;;anriss;KB11;DERelCon;
;;anrissen;KB11,anreissen;DERelCon;
;;anrühre;DTI,anrühren;DERel;
;;anrühren;DTI,anrühren;DEInf;
;;anrührt;DTI,anrühren;DERel;
;;anrührte;DTI,anrühren;DERel;
;;anrührten;DTI,anrühren;DERel;
;;anrufe;deel2;DERelCon;
;;anrufen;;DEInf;
;;anrufst;KB11,anrufen;DERel;
;;anruft;KB11,anrufen;DERel;
;;ans;KB11;DEPrepart;
;;ansässig;KB08;DEPredadj;
;;ansässige;KB08;DEAttradj;
;;ansässigen;KB08;DEAttradj;
;;ansage;KB11,ansagen;DERelCon;
;;ansagen;KB07;DERelCon;
;;ansagst;KB11,ansagen;DERel;
;;ansagt;KB11,ansagen;DERel;
;;ansagte;KB11,ansagen;DERel;
;;ansagten;KB11,ansagen;DERel;
;;ansah;KB11;DERel;
;;ansahen;KB11;DERel;
;;ansammele;KB11,ansammeln;DERel;
;;ansammeln;KB11,ansammeln;DEInf;
;;ansammelst;KB11,ansammeln;DERel;
;;ansammelt;KB11,ansammeln;DERel;
;;ansammelte;KB11,ansammeln;DERel;
;;ansammelten;KB11,ansammeln;DERel;
;;ansang;KB11,ansingen;DERel;
;;ansangen;KB11,ansingen;DERel;
;;anschaffe;KB11,anschaffen;DERel;
;;anschaffen;deel3;DEInf;
;;anschaffst;KB11,anschaffen;DERel;
;;anschafft;KB11,anschaffen;DERel;
;;anschaffte;KB11,anschaffen;DERel;
;;anschafften;KB11,anschaffen;DERel;
;;anschalte;KB11,anschalten;DERel;
;;anschalten;KB11,anschalten;DEInf;
;;anschaltest;KB11,anschalten;DERel;
;;anschaltet;KB11,anschalten;DERel;
;;anschaltete;KB11,anschalten;DERel;
;;anschalteten;KB11,anschalten;DERel;
;;anschaue;KB11,anschauen;DERel;
;;anschauen;deel3;DEInf;
;;anschaulich;DTI;DEPredadj;
;;anschaust;KB11,anschauen;DERel;
;;anschaut;KB11;DERel;
;;anschaute;KB11,anschauen;DERel;
;;anschauten;KB11,anschauen;DERel;
;;anscheinend;KB08;DEPredadj;
;;anschiebe;KB11,anschieben;DERel;
;;anschieben;KB11,anschieben;DEInf;
;;anschiebst;KB11,anschieben;DERel;
;;anschiebt;KB11,anschieben;DERel;
;;anschiesse;KB11,anschiessen;DERel;
;;anschiessen;KB11,anschiessen;DEInf;
;;anschiesst;KB11,anschiessen;DERel;
;;anschlägst;KB11,anschlagen;DERel;
;;anschlägt;KB11,anschlagen;DERel;
;;anschlage;KB11,anschlagen;DERel;
;;anschlagen;KB11,anschlagen;DEInf;
;;anschlagt;KB11,anschlagen;DERel;
;;anschliesse;deel5;DERel;
;;anschliessen;deel2;DEInf;
;;anschliessend;KB08;DEPredadj;
;;anschliessende;KB08;DEAttradj;
;;anschliessendem;KB08;DEAttradj;
;;anschliessenden;KB08;DEAttradj;
;;anschliessender;KB08;DEAttradj;
;;anschliesst;KB11,anschliessen;DERel;
;;anschloss;KB11,anschliessen;DERel;
;;anschlossen;KB11,anschliessen;DERel;
;;anschlug;KB11,anschlagen;DERel;
;;anschlugen;KB11,anschlagen;DERel;
;;anschnalle;KB11,anschnallen;DERel;
;;anschnallen;KB11,anschnallen;DEInf;
;;anschnallst;KB11,anschnallen;DERel;
;;anschnallt;KB11,anschnallen;DERel;
;;anschnallte;KB11,anschnallen;DERel;
;;anschnallten;KB11,anschnallen;DERel;
;;anschneide;KB11,anschneiden;DERel;
;;anschneiden;KB11,anschneiden;DEInf;
;;anschneidest;KB11,anschneiden;DERel;
;;anschneidet;KB11,anschneiden;DERel;
;;anschnitt;KB11,anschneiden;DERelCon;
;;anschnitten;KB11,anschneiden;DERelCon;
;;anschob;KB11,anschieben;DERel;
;;anschoben;KB11,anschieben;DERel;
;;anschoss;KB11,anschiessen;DERel;
;;anschossen;KB11,anschiessen;DERel;
;;anschreibe;KB11,anschreiben;DERel;
;;anschreiben;KB11;DEInf;
;;anschreibst;KB11,anschreiben;DERel;
;;anschreibt;KB11,anschreiben;DERel;
;;anschrieb;KB11,anschreiben;DERel;
;;anschrieben;KB11,anschreiben;DERel;
;;anschwärze;KB11,anschwärzen;DERel;
;;anschwärzen;KB11,anschwärzen;DEInf;
;;anschwärzt;KB11,anschwärzen;DERel;
;;anschwärzte;KB11,anschwärzen;DERel;
;;anschwärzten;KB11,anschwärzen;DERel;
;;anschwelle;KB11,anschwellen;DERel;
;;anschwellen;deel4;DEInf;
;;anschwellt;KB11,anschwellen;DERel;
;;anschwemme;KB11,anschwemmen;DERel;
;;anschwemmen;KB11,anschwemmen;DEInf;
;;anschwemmst;KB11,anschwemmen;DERel;
;;anschwemmt;KB11,anschwemmen;DERel;
;;anschwemmte;KB11,anschwemmen;DERel;
;;anschwemmten;KB11,anschwemmen;DERel;
;;anschwillst;KB11,anschwellen;DERel;
;;anschwillt;KB11,anschwellen;DERel;
;;anschwoll;KB11,anschwellen;DERel;
;;anschwollen;KB11,anschwellen;DERel;
;;ansehe;KB11,ansehen;DERel;
;;ansehen;;DERelCon;
;;ansehnlich;DTI;DEPredadj;
;;anseht;KB11,ansehen;DERel;
;;ansetze;KB11,ansetzen;DERel;
;;ansetzen;deel3;DEInf;
;;ansetzt;KB11,ansetzen;DERel;
;;ansetzte;KB11,ansetzen;DERel;
;;ansetzten;KB11,ansetzen;DERel;
;;ansiedele;KB11,ansiedeln;DERel;
;;ansiedeln;deel4;DEInf;
;;ansiedelst;KB11,ansiedeln;DERel;
;;ansiedelt;KB11,ansiedeln;DERel;
;;ansiedelte;KB11,ansiedeln;DERel;
;;ansiedelten;KB11,ansiedeln;DERel;
;;ansiehst;KB11,ansehen;DERel;
;;ansieht;deel4;DERel;
;;ansinge;KB11,ansingen;DERel;
;;ansingen;KB11,ansingen;DEInf;
;;ansingst;KB11,ansingen;DERel;
;;ansingt;KB11,ansingen;DERel;
;;ansinnen;deel3;DEInf;
;;ansonsten;deel2;DEAdv;
;;anspanne;KB11,anspannen;DERel;
;;anspannen;KB11,anspannen;DEInf;
;;anspannst;KB11,anspannen;DERel;
;;anspannt;KB11,anspannen;DERel;
;;anspannte;KB11,anspannen;DERel;
;;anspannten;KB11,anspannen;DERel;
;;anspare;KB11,ansparen;DERel;
;;ansparen;deel4;DEInf;
;;ansparst;KB11,ansparen;DERel;
;;anspart;KB11,ansparen;DERel;
;;ansparte;KB11,ansparen;DERel;
;;ansparten;KB11,ansparen;DERel;
;;ansporne;KB11,anspornen;DERel;
;;anspornen;KB11,anspornen;DEInf;
;;anspornst;KB11,anspornen;DERel;
;;anspornt;KB11,anspornen;DERel;
;;anspornte;KB11;DERel;
;;anspornten;KB11,anspornen;DERel;
;;ansprach;KB11;DERel;
;;ansprachen;deel3;DERel;
;;ansprechbar;KB08;DEPredadj;
;;anspreche;KB11,ansprechen;DERel;
;;ansprechen;;DEInf;
;;ansprecht;KB11,ansprechen;DERel;
;;ansprichst;KB11,ansprechen;DERel;
;;anspricht;KB11;DERel;
;;anspruchsvolle;KB08;DEAttradj;
;;anspruchsvolles;KB08;DEAttradj;
;;anspüle;KB11,anspülen;DERel;
;;anspülen;KB11,anspülen;DEInf;
;;anspülst;KB11,anspülen;DERel;
;;anspült;KB11,anspülen;DERel;
;;anspülte;KB11,anspülen;DERel;
;;anspülten;KB11,anspülen;DERel;
;;anstach;KB11,anstechen;DERel;
;;anstachele;KB11,anstacheln;DERel;
;;anstacheln;KB11,anstacheln;DEInf;
;;anstachelst;KB11,anstacheln;DERel;
;;anstachelt;KB11,anstacheln;DERel;
;;anstachelte;KB11,anstacheln;DERel;
;;anstachelten;KB11,anstacheln;DERel;
;;anstachen;KB11,anstechen;DERel;
;;anständig;KB08;DEPredadj;
;;anständige;KB08;DEAttradj;
;;anständigen;KB08;DEAttradj;
;;anstand;deel3;DERelCon;
;;anstanden;KB11,anstehen;DERel;
;;anstatt;;DEConj;
;;ansteche;KB11,anstechen;DERel;
;;anstechen;KB11,anstechen;DEInf;
;;anstecht;KB11,anstechen;DERel;
;;anstecke;KB11,anstecken;DERel;
;;anstecken;deel4;DEInf;
;;ansteckend;KB08;DEPredadj;
;;ansteckende;KB08;DEAttradj;
;;ansteckst;KB11,anstecken;DERel;
;;ansteckt;KB11,anstecken;DERel;
;;ansteckte;KB11,anstecken;DERel;
;;ansteckten;KB11,anstecken;DERel;
;;anstehe;deel5;DERel;
;;anstehen;deel4;DEInf;
;;anstehende;KB08;DEAttradj;
;;anstehenden;KB08;DEAttradj;
;;anstehender;KB08;DEAttradj;
;;anstehst;KB11,anstehen;DERel;
;;ansteht;KB11,anstehen;DERel;
;;ansteige;deel4;DERel;
;;ansteigen;;DEInf;
;;ansteigende;KB08;DEAttradj;
;;ansteigenden;KB08;DEAttradj;
;;ansteigst;KB11,ansteigen;DERel;
;;ansteigt;deel4;DERel;
;;anstelle;;DERel;
;;anstellen;deel5;DEInf;
;;anstellst;KB11,anstellen;DERel;
;;anstellt;KB11;DERel;
;;anstellte;KB11,anstellen;DERel;
;;anstellten;KB11,anstellen;DERel;
;;ansteuere;KB11,ansteuern;DERel;
;;ansteuern;deel5;DEInf;
;;ansteuerst;KB11,ansteuern;DERel;
;;ansteuert;KB11,ansteuern;DERel;
;;ansteuerte;KB11,ansteuern;DERel;
;;ansteuerten;KB11,ansteuern;DERel;
;;anstichst;KB11,anstechen;DERel;
;;ansticht;KB11,anstechen;DERel;
;;anstieg;;DERelCon;
;;anstiegen;deel5;DERelCon;
;;anstiess;KB11,anstossen;DERel;
;;anstiessen;KB11,anstossen;DERel;
;;anstifte;KB11,anstiften;DERel;
;;anstiften;KB11,anstiften;DEInf;
;;anstiftest;KB11,anstiften;DERel;
;;anstiftet;KB11,anstiften;DERel;
;;anstiftete;KB11,anstiften;DERel;
;;anstifteten;KB11,anstiften;DERel;
;;anstimme;KB11,anstimmen;DERel;
;;anstimmen;KB11,anstimmen;DEInf;
;;anstimmst;KB11,anstimmen;DERel;
;;anstimmt;KB11,anstimmen;DERel;
;;anstimmte;KB11,anstimmen;DERel;
;;anstimmten;KB11,anstimmen;DERel;
;;anstösse;deel5;DERel;
;;anstösst;KB11,anstossen;DERel;
;;anstosse;KB11,anstossen;DERel;
;;anstossen;deel3;DEInf;
;;anstosst;KB11,anstossen;DERel;
;;anstrebe;deel3;DERel;
;;anstreben;deel3;DEInf;
;;anstrebst;KB11,anstreben;DERel;
;;anstrebt;deel3;DERel;
;;anstrebte;KB11;DERel;
;;anstrebten;KB11,anstreben;DERel;
;;anstreiche;KB11,anstreichen;DERel;
;;anstreichen;KB11,anstreichen;DEInf;
;;anstreichst;KB11,anstreichen;DERel;
;;anstreicht;KB11,anstreichen;DERel;
;;anstrenge;KB11,anstrengen;DERel;
;;anstrengen;deel3;DEInf;
;;anstrengend;KB08;DEPredadj;
;;anstrengende;DTI,anstrengend;DEAttradj;
;;anstrengendem;DTI,anstrengend;DEAttradj;
;;anstrengenden;DTI,anstrengend;DEAttradj;
;;anstrengender;DTI,anstrengend;DEAttradj;
;;anstrengendes;DTI,anstrengend;DEAttradj;
;;anstrengst;KB11,anstrengen;DERel;
;;anstrengt;KB07;DERel;
;;anstrengte;KB11,anstrengen;DERel;
;;anstrengten;KB11,anstrengen;DERel;
;;anstrich;KB11;DERelCon;
;;anstrichen;KB11,anstreichen;DERel;
;;anstünden;deel4;DERel;
;;antaste;KB11,antasten;DERel;
;;antasten;deel5;DEInf;
;;antastest;KB11,antasten;DERel;
;;antastet;KB11,antasten;DERel;
;;antastete;KB11,antasten;DERel;
;;antasteten;KB11,antasten;DERel;
;;antat;KB11,antun;DERel;
;;antaten;KB11,antun;DERel;
;;anteilig;KB08;DEPredadj;
